matchid|season|datetime|year
18802|2001-2002|2001-09-08 00:00:00|2001
18803|2001-2002|2001-09-08 00:00:00|2001
18804|2001-2002|2001-09-08 00:00:00|2001
18805|2001-2002|2001-09-08 00:00:00|2001
18806|2001-2002|2001-09-08 00:00:00|2001
18807|2001-2002|2001-09-08 00:00:00|2001
18808|2001-2002|2001-09-08 00:00:00|2001
18909|2001-2002|2001-09-09 00:00:00|2001
18910|2001-2002|2001-09-09 00:00:00|2001
19080|2001-2002|2001-09-15 00:00:00|2001
19089|2001-2002|2001-09-15 00:00:00|2001
19090|2001-2002|2001-09-15 00:00:00|2001
19091|2001-2002|2001-09-15 00:00:00|2001
19092|2001-2002|2001-09-15 00:00:00|2001
19093|2001-2002|2001-09-15 00:00:00|2001
19173|2001-2002|2001-09-16 00:00:00|2001
19174|2001-2002|2001-09-16 00:00:00|2001
19175|2001-2002|2001-09-16 00:00:00|2001
19177|2001-2002|2001-09-16 00:00:00|2001
19183|2001-2002|2001-09-17 00:00:00|2001
19250|2001-2002|2001-09-19 00:00:00|2001
19257|2001-2002|2001-09-19 00:00:00|2001
19313|2001-2002|2001-09-22 00:00:00|2001
19314|2001-2002|2001-09-22 00:00:00|2001
19315|2001-2002|2001-09-22 00:00:00|2001
19316|2001-2002|2001-09-22 00:00:00|2001
19317|2001-2002|2001-09-22 00:00:00|2001
19318|2001-2002|2001-09-22 00:00:00|2001
19398|2001-2002|2001-09-23 00:00:00|2001
19399|2001-2002|2001-09-23 00:00:00|2001
19401|2001-2002|2001-09-23 00:00:00|2001
19405|2001-2002|2001-09-24 00:00:00|2001
19470|2001-2002|2001-09-26 00:00:00|2001
19530|2001-2002|2001-09-29 00:00:00|2001
19531|2001-2002|2001-09-29 00:00:00|2001
19532|2001-2002|2001-09-29 00:00:00|2001
19533|2001-2002|2001-09-29 00:00:00|2001
19534|2001-2002|2001-09-29 00:00:00|2001
19535|2001-2002|2001-09-29 00:00:00|2001
19606|2001-2002|2001-09-30 00:00:00|2001
19614|2001-2002|2001-09-30 00:00:00|2001
19617|2001-2002|2001-09-30 00:00:00|2001
20534|2001-2002|2001-10-13 00:00:00|2001
20542|2001-2002|2001-10-13 00:00:00|2001
20543|2001-2002|2001-10-13 00:00:00|2001
20544|2001-2002|2001-10-13 00:00:00|2001
20545|2001-2002|2001-10-13 00:00:00|2001
20546|2001-2002|2001-10-13 00:00:00|2001
20547|2001-2002|2001-10-13 00:00:00|2001
20626|2001-2002|2001-10-14 00:00:00|2001
20637|2001-2002|2001-10-14 00:00:00|2001
20653|2001-2002|2001-10-15 00:00:00|2001
21077|2001-2002|2001-10-20 00:00:00|2001
21078|2001-2002|2001-10-20 00:00:00|2001
21079|2001-2002|2001-10-20 00:00:00|2001
21080|2001-2002|2001-10-20 00:00:00|2001
21081|2001-2002|2001-10-20 00:00:00|2001
21082|2001-2002|2001-10-20 00:00:00|2001
21157|2001-2002|2001-10-21 00:00:00|2001
21158|2001-2002|2001-10-21 00:00:00|2001
21173|2001-2002|2001-10-21 00:00:00|2001
21185|2001-2002|2001-10-22 00:00:00|2001
21225|2001-2002|2001-10-24 00:00:00|2001
21227|2001-2002|2001-10-24 00:00:00|2001
21238|2001-2002|2001-10-24 00:00:00|2001
21255|2001-2002|2001-10-27 00:00:00|2001
21256|2001-2002|2001-10-27 00:00:00|2001
21257|2001-2002|2001-10-27 00:00:00|2001
21258|2001-2002|2001-10-27 00:00:00|2001
21259|2001-2002|2001-10-27 00:00:00|2001
21260|2001-2002|2001-10-27 00:00:00|2001
21261|2001-2002|2001-10-27 00:00:00|2001
21326|2001-2002|2001-10-28 00:00:00|2001
21340|2001-2002|2001-10-28 00:00:00|2001
21352|2001-2002|2001-10-29 00:00:00|2001
21422|2001-2002|2001-11-03 00:00:00|2001
21423|2001-2002|2001-11-03 00:00:00|2001
21424|2001-2002|2001-11-03 00:00:00|2001
21425|2001-2002|2001-11-03 00:00:00|2001
21426|2001-2002|2001-11-03 00:00:00|2001
21427|2001-2002|2001-11-03 00:00:00|2001
21511|2001-2002|2001-11-04 00:00:00|2001
21512|2001-2002|2001-11-04 00:00:00|2001
21513|2001-2002|2001-11-04 00:00:00|2001
21517|2001-2002|2001-11-04 00:00:00|2001
21625|2001-2002|2001-11-17 00:00:00|2001
21627|2001-2002|2001-11-17 00:00:00|2001
21628|2001-2002|2001-11-17 00:00:00|2001
21629|2001-2002|2001-11-17 00:00:00|2001
21630|2001-2002|2001-11-17 00:00:00|2001
21631|2001-2002|2001-11-18 00:00:00|2001
21632|2001-2002|2001-11-17 00:00:00|2001
21673|2001-2002|2001-11-18 00:00:00|2001
21675|2001-2002|2001-11-18 00:00:00|2001
21687|2001-2002|2001-11-19 00:00:00|2001
21733|2001-2002|2001-11-24 00:00:00|2001
21734|2001-2002|2001-11-24 00:00:00|2001
21735|2001-2002|2001-11-25 00:00:00|2001
21736|2001-2002|2001-11-24 00:00:00|2001
21737|2001-2002|2001-11-25 00:00:00|2001
21738|2001-2002|2001-11-24 00:00:00|2001
21740|2001-2002|2001-11-24 00:00:00|2001
