MatchID|Team1ID|Team1|score_t1|mean_goals_t1_bin_5|mean_assists_t1_bin_5|mean_shots_t1_bin_5|HAteam01|Team2ID|Team2|score_t2|mean_goals_t2_bin_5|mean_assists_t2_bin_5|mean_shots_t2_bin_5|HAteam02
367138|381|norwich_city|0|5.867889|1.149157|8.675906|home|359|arsenal|2|3.188636|0.751178|6.323678|away
367139|367|tottenham_hotspur|3|5.245326|0.841864|8.593268|home|362|aston_villa|0|2.592168|0.636688|5.634341|away
367140|347|cardiff_city|1|7.609450|1.353693|5.371281|home|363|chelsea|2|3.270154|0.587443|6.870832|away
367141|306|hull_city|0|3.654877|0.972495|9.258120|home|368|everton|2|3.093737|0.641586|5.307155|away
367142|376|southampton|1|4.206121|1.038138|8.658313|home|360|manchester_united|1|3.458382|0.971828|7.583994|away
367143|364|liverpool|2|3.825009|0.690894|7.922783|home|361|newcastle_united|1|4.062485|0.655794|5.460414|away
367144|383|west_bromwich_albion|1|3.597008|0.786730|8.498563|home|336|stoke_city|2|2.020495|0.749230|8.109965|away
367145|366|sunderland|1|4.695552|0.459782|4.825031|home|318|swansea_city|3|4.166909|0.965912|5.961253|away
367146|382|manchester_city|2|3.418669|0.831260|7.926992|home|371|west_ham_united|0|3.757457|1.005776|12.211660|away
367147|361|newcastle_united|3|4.349770|0.657847|5.667177|home|347|cardiff_city|0|7.235091|1.302113|6.160550|away
367148|336|stoke_city|4|3.349335|0.753231|7.479594|home|370|fulham|1|2.274520|0.502356|6.378661|away
367149|362|aston_villa|3|2.474982|0.634530|5.593105|home|306|hull_city|1|3.681862|1.297925|9.021017|away
367150|368|everton|2|3.029310|0.675222|5.134854|home|382|manchester_city|3|3.418669|0.831260|7.926992|away
367151|363|chelsea|0|3.560503|0.748865|8.585887|home|381|norwich_city|0|5.558494|1.036288|8.192472|away
367152|318|swansea_city|0|4.140959|0.963852|6.557866|home|376|southampton|1|3.936296|0.994597|8.519454|away
367153|360|manchester_united|0|3.302340|0.935262|8.113734|home|366|sunderland|1|4.735483|0.499713|5.444823|away
367154|371|west_ham_united|2|3.748633|0.966947|12.243187|home|367|tottenham_hotspur|0|4.674379|0.869943|8.445260|away
367155|359|arsenal|1|3.346771|0.799947|7.603939|home|383|west_bromwich_albion|0|3.656311|0.788808|8.919919|away
367156|318|swansea_city|4|4.164790|1.023882|6.996780|home|362|aston_villa|1|2.463736|0.646641|5.408849|away
367157|366|sunderland|4|4.525037|0.485798|5.929493|home|347|cardiff_city|0|7.629243|1.317266|6.498344|away
367158|364|liverpool|0|3.947558|0.643975|7.483008|home|363|chelsea|2|3.389630|0.640672|7.548977|away
367159|376|southampton|2|4.514964|1.082983|8.728798|home|368|everton|0|3.206361|0.739847|5.387334|away
367160|370|fulham|2|2.904580|0.611394|8.006672|home|306|hull_city|2|3.764591|1.325854|9.308758|away
367161|359|arsenal|3|3.344548|0.795185|7.674732|home|361|newcastle_united|0|4.153438|0.669649|5.593333|away
367162|360|manchester_united|4|2.878710|0.907162|7.431932|home|381|norwich_city|0|5.812648|0.958030|8.020460|away
367163|336|stoke_city|0|3.324462|0.666812|7.433479|home|367|tottenham_hotspur|1|4.855241|0.798243|9.173172|away
367164|383|west_bromwich_albion|1|3.602462|0.843008|8.556902|home|371|west_ham_united|0|3.703007|0.924149|11.066340|away
367165|306|hull_city|0|3.681862|1.297925|9.021017|home|359|arsenal|3|3.527054|0.833187|7.715409|away
367166|367|tottenham_hotspur|3|4.883025|0.832435|9.270502|home|370|fulham|1|2.761392|0.544466|7.288297|away
367167|381|norwich_city|2|5.741525|0.938957|7.326343|home|364|liverpool|3|3.938097|0.655218|7.628489|away
367168|368|everton|2|2.923746|0.687247|5.301899|home|360|manchester_united|0|3.070746|0.942588|7.562319|away
367169|362|aston_villa|0|2.463736|0.646641|5.408849|home|376|southampton|0|4.206121|1.038138|8.658313|away
367170|347|cardiff_city|1|8.087307|1.252181|6.045215|home|336|stoke_city|1|3.324462|0.666812|7.433479|away
367171|363|chelsea|1|3.723728|0.723322|9.176443|home|366|sunderland|2|4.712995|0.431514|5.011061|away
367172|361|newcastle_united|1|4.637270|0.636180|6.335510|home|318|swansea_city|2|4.015284|0.996239|7.292280|away
367173|382|manchester_city|3|3.330657|0.781845|7.422752|home|383|west_bromwich_albion|1|3.440519|0.813536|8.289852|away
367174|376|southampton|0|2.011789|0.827611|8.577341|home|347|cardiff_city|1|4.547226|0.925370|6.135262|away
367175|318|swansea_city|0|4.026467|1.007422|7.536148|home|363|chelsea|1|5.109822|0.689531|8.000301|away
367176|366|sunderland|0|4.660711|0.457337|6.025468|home|368|everton|1|2.923746|0.687247|5.301899|away
367177|360|manchester_united|3|3.472876|1.019315|7.345192|home|306|hull_city|1|3.694967|1.291088|9.152071|away
367178|364|liverpool|3|3.894693|0.694740|8.636358|home|382|manchester_city|2|3.418669|0.831260|7.926992|away
367179|336|stoke_city|1|3.353562|0.662402|7.341768|home|361|newcastle_united|0|4.406883|0.639558|6.237774|away
367180|370|fulham|1|2.742931|0.587387|7.628414|home|381|norwich_city|0|5.775616|0.961016|7.414578|away
367181|383|west_bromwich_albion|3|3.550229|0.824993|8.210664|home|367|tottenham_hotspur|3|5.009172|0.808497|7.599323|away
367182|359|arsenal|3|3.551699|0.832143|7.671340|home|371|west_ham_united|1|3.601248|0.986827|11.850050|away
367183|368|everton|3|2.923746|0.687247|5.301899|home|359|arsenal|0|5.594999|0.811368|7.964874|away
367184|362|aston_villa|1|2.473836|0.662546|4.983374|home|370|fulham|2|2.704761|0.608292|6.834991|away
367185|371|west_ham_united|1|3.640925|0.987058|12.079462|home|364|liverpool|2|3.876031|0.712894|8.364350|away
367186|361|newcastle_united|0|3.188956|0.509075|6.154304|home|360|manchester_united|4|3.011186|0.894232|6.682631|away
367187|382|manchester_city|4|3.407083|0.829441|7.195513|home|376|southampton|1|2.095768|0.817604|9.603067|away
367188|363|chelsea|3|4.998245|0.802656|8.756758|home|336|stoke_city|0|3.344485|0.696353|7.298377|away
367189|367|tottenham_hotspur|5|4.700868|0.775110|7.487574|home|366|sunderland|1|4.598824|0.464077|5.477980|away
367190|306|hull_city|1|3.754392|1.297540|9.078887|home|318|swansea_city|0|4.594523|1.121507|9.955973|away
367191|381|norwich_city|0|5.653497|1.039702|8.574723|home|383|west_bromwich_albion|1|3.717240|0.807547|8.188155|away
367192|360|manchester_united|4|3.328200|1.017708|8.193616|home|362|aston_villa|1|2.610795|0.722755|6.052267|away
367193|383|west_bromwich_albion|3|3.700474|0.759699|7.673364|home|347|cardiff_city|3|7.196130|1.392007|7.345865|away
367194|370|fulham|1|2.930952|0.587181|5.861491|home|368|everton|3|3.095731|0.711987|5.566717|away
367195|336|stoke_city|1|3.279536|0.720373|6.881979|home|306|hull_city|0|3.615195|1.197231|8.405739|away
367196|359|arsenal|1|3.271806|0.766456|7.213641|home|382|manchester_city|1|3.382247|0.824310|7.023818|away
367197|376|southampton|4|4.376588|1.008605|10.146912|home|361|newcastle_united|0|3.074900|0.520306|6.504051|away
367198|318|swansea_city|3|4.729337|1.136914|9.652440|home|381|norwich_city|0|5.669286|1.057245|8.726770|away
367199|364|liverpool|4|3.888358|0.722568|8.596992|home|367|tottenham_hotspur|0|4.733005|0.731544|8.004481|away
367200|366|sunderland|1|4.693731|0.415466|5.163165|home|371|west_ham_united|2|3.644385|1.018200|12.185344|away
367201|363|chelsea|6|5.054538|0.693823|8.332297|home|359|arsenal|0|3.104083|0.733258|6.983377|away
367202|382|manchester_city|5|3.167787|0.746985|5.913893|home|370|fulham|0|2.766544|0.500990|5.388637|away
367203|347|cardiff_city|3|7.624970|1.283078|6.831677|home|364|liverpool|6|3.888358|0.722568|8.596992|away
367204|371|west_ham_united|0|3.637849|0.981162|11.891226|home|360|manchester_united|2|3.090235|0.948396|8.198268|away
367205|367|tottenham_hotspur|3|4.624692|0.705054|7.965740|home|376|southampton|2|4.430434|1.006041|9.237272|away
367206|362|aston_villa|1|2.507854|0.633049|5.573065|home|336|stoke_city|4|3.405115|0.606517|6.623112|away
367207|381|norwich_city|2|5.653497|1.039702|8.574723|home|366|sunderland|0|4.670900|0.491380|4.926073|away
367208|368|everton|3|3.095731|0.711987|5.566717|home|318|swansea_city|2|4.514866|1.094546|9.780728|away
