MatchID|Team1|InningsNumteam1|runrate_t1|score_t1|mean_sr_t1_bin_5|median_sr_t1_bin_5|mean_er_t1_bin_5|median_er_t1_bin_5|Team2|InningsNumteam2|runrate_t2|score_t2|mean_sr_t2_bin_5|median_sr_t2_bin_5|mean_er_t2_bin_5|median_er_t2_bin_5|Won_By|Winning_type
598073|Chennai_Super_Kings|2|6.250000|125.000000|120.556535|120.454545|7.278087|7.517730|Mumbai_Indians|1|7.400000|148.000000|119.075980|125.408065|7.998402|7.668977|Mumbai_Indians|23_runs
598072|Mumbai_Indians|2|8.520000|169.000000|119.075980|125.408065|7.998402|7.668977|Rajasthan_Royals|1|8.250000|165.000000|129.847433|135.077129|8.069114|8.069114|Mumbai_Indians|4_wickets_(with_1_ball_remaining)
598071|Rajasthan_Royals|2|6.980000|135.000000|129.847433|135.077129|8.069114|8.069114|Sunrisers_Hyderabad|1|6.600000|132.000000|102.201004|112.500000|7.213923|7.315422|Rajasthan_Royals|4_wickets_(with_4_balls_remaining)
598070|Chennai_Super_Kings|1|9.600000|192.000000|120.556535|120.454545|7.278087|7.517730|Mumbai_Indians|2|7.710000|144.000000|105.845315|124.788732|8.073601|8.079387|Chennai_Super_Kings|48_runs
598069|Sunrisers_Hyderabad|2|7.000000|132.000000|104.419690|116.145833|7.007419|6.847826|Kolkata_Knight_Riders|1|6.500000|130.000000|123.639928|124.515303|7.265116|7.055229|Sunrisers_Hyderabad|5_wickets_(with_7_balls_remaining)
598067|Pune_Warriors|1|8.600000|172.000000|118.936412|125.628922|7.452580|7.520833|Delhi_Daredevils|2|6.700000|134.000000|137.589722|138.972431|7.893243|8.000000|Pune_Warriors|38_runs
598068|Royal_Challengers_Bangalore|1|13.250000|106.000000|97.974008|111.496350|7.736896|7.876838|Chennai_Super_Kings|2|10.250000|82.000000|116.769264|118.335381|7.075043|7.404240|Royal_Challengers_Bangalore|24_runs
598066|Kings_XI_Punjab|1|9.150000|183.000000|79.914890|105.882353|8.607209|7.423077|Mumbai_Indians|2|6.930000|133.000000|108.329697|116.341735|7.807561|7.668977|Kings_XI_Punjab|50_runs
598065|Sunrisers_Hyderabad|1|6.800000|136.000000|102.201004|112.500000|7.213923|7.315422|Rajasthan_Royals|2|5.650000|113.000000|129.847433|135.077129|8.069114|8.069114|Sunrisers_Hyderabad|23_runs
598028|Kings_XI_Punjab|1|8.550000|171.000000|79.914890|105.882353|8.607209|7.423077|Delhi_Daredevils|2|8.200000|164.000000|137.574768|138.236216|8.129609|8.308511|Kings_XI_Punjab|7_runs
598063|Mumbai_Indians|1|8.300000|166.000000|115.936028|117.816053|7.543313|7.479675|Rajasthan_Royals|2|7.600000|152.000000|129.847433|135.077129|8.069114|8.069114|Mumbai_Indians|14_runs
598061|Kolkata_Knight_Riders|2|8.150000|163.000000|103.168281|115.467626|7.403498|7.244118|Pune_Warriors|1|8.500000|170.000000|122.832090|136.893204|7.309763|6.875000|Pune_Warriors|7_runs
598062|Chennai_Super_Kings|1|8.400000|168.000000|120.556535|120.454545|7.559729|7.879386|Delhi_Daredevils|2|6.750000|135.000000|131.383508|129.276316|7.739533|8.000000|Chennai_Super_Kings|33_runs
598045|Royal_Challengers_Bangalore|1|8.700000|174.000000|91.970295|122.992701|7.500844|7.794118|Kings_XI_Punjab|2|9.680000|176.000000|88.956112|109.759358|9.199275|9.199275|Kings_XI_Punjab|7_wickets_(with_11_balls_remaining)
598060|Mumbai_Indians|2|9.430000|184.000000|119.075980|125.408065|7.998402|7.668977|Sunrisers_Hyderabad|1|8.900000|178.000000|102.201004|112.500000|7.213923|7.315422|Mumbai_Indians|7_wickets_(with_3_balls_remaining)
598058|Rajasthan_Royals|2|8.380000|144.000000|129.847433|135.077129|8.069114|8.069114|Chennai_Super_Kings|1|7.050000|141.000000|116.769264|118.335381|7.075043|7.404240|Rajasthan_Royals|5_wickets_(with_17_balls_remaining)
598057|Kolkata_Knight_Riders|2|6.000000|116.000000|103.168281|115.467626|7.403498|7.244118|Royal_Challengers_Bangalore|1|5.750000|115.000000|92.298677|91.496350|7.915455|7.944678|Kolkata_Knight_Riders|5_wickets_(with_4_balls_remaining)
598056|Kings_XI_Punjab|2|6.000000|120.000000|79.914890|105.882353|8.607209|7.423077|Sunrisers_Hyderabad|1|7.500000|150.000000|102.201004|112.500000|7.213923|7.315422|Sunrisers_Hyderabad|30_runs
598055|Pune_Warriors|1|5.600000|112.000000|103.379560|100.000000|6.801102|6.781377|Mumbai_Indians|2|6.150000|116.000000|113.730866|117.816053|7.774585|7.479675|Mumbai_Indians|5_wickets_(with_7_balls_remaining)
598054|Delhi_Daredevils|2|8.950000|179.000000|137.589722|138.972431|7.893243|8.000000|Royal_Challengers_Bangalore|1|9.150000|183.000000|92.298677|91.496350|7.915455|7.944678|Royal_Challengers_Bangalore|4_runs
598053|Pune_Warriors|2|5.430000|106.000000|123.275918|138.000000|7.299763|6.875000|Kolkata_Knight_Riders|1|7.600000|152.000000|118.582123|120.114943|7.404198|7.088235|Kolkata_Knight_Riders|46_runs
598052|Kings_XI_Punjab|1|7.250000|145.000000|86.820461|109.759358|8.086023|6.994147|Rajasthan_Royals|2|7.730000|147.000000|103.877947|122.535211|8.157187|8.333333|Rajasthan_Royals|8_wickets_(with_6_balls_remaining)
598051|Sunrisers_Hyderabad|2|7.300000|146.000000|101.124701|112.500000|6.923375|6.847826|Chennai_Super_Kings|1|11.150000|223.000000|116.769264|118.335381|7.075043|7.404240|Chennai_Super_Kings|77_runs
598050|Mumbai_Indians|1|8.500000|170.000000|119.075980|125.408065|7.998402|7.668977|Kolkata_Knight_Riders|2|5.720000|105.000000|116.968799|117.791284|7.396075|7.047619|Mumbai_Indians|65_runs
598049|Rajasthan_Royals|2|8.690000|155.000000|120.544613|122.535211|7.733514|7.138229|Delhi_Daredevils|1|7.700000|154.000000|141.723994|139.486216|7.531353|7.531353|Rajasthan_Royals|9_wickets_(with_13_balls_remaining)
598064|Kings_XI_Punjab|2|10.770000|194.000000|81.457280|105.882353|8.086023|6.994147|Royal_Challengers_Bangalore|1|9.500000|190.000000|93.398866|100.000000|7.692364|7.794118|Kings_XI_Punjab|6_wickets_(with_12_balls_remaining)
598047|Rajasthan_Royals|2|9.170000|182.000000|129.847433|135.077129|8.069114|8.069114|Pune_Warriors|1|8.900000|178.000000|123.275918|138.000000|7.455685|7.537500|Rajasthan_Royals|5_wickets_(with_1_ball_remaining)
598046|Mumbai_Indians|1|6.950000|139.000000|119.075980|125.408065|7.998402|7.668977|Chennai_Super_Kings|2|5.150000|79.000000|116.769264|118.335381|7.207180|7.517730|Mumbai_Indians|60_runs
598044|Sunrisers_Hyderabad|2|5.850000|81.000000|101.124701|112.500000|6.923375|6.847826|Delhi_Daredevils|1|4.170000|80.000000|131.752268|131.585518|7.647287|8.000000|Sunrisers_Hyderabad|6_wickets_(with_37_balls_remaining)
598043|Kolkata_Knight_Riders|2|7.670000|133.000000|106.320651|117.791284|7.343057|7.211111|Rajasthan_Royals|1|6.600000|132.000000|126.347082|122.535211|7.657187|7.138229|Kolkata_Knight_Riders|8_wickets_(with_16_balls_remaining)
598042|Pune_Warriors|2|8.500000|170.000000|104.026194|104.276316|7.160948|6.875000|Royal_Challengers_Bangalore|1|9.350000|187.000000|87.684581|100.000000|7.268933|7.376238|Royal_Challengers_Bangalore|17_runs
