Season|min_date|max_date
2001-02|2001-10-30 00:00:00|2002-06-12 00:00:00
2002-03|2002-10-29 00:00:00|2003-06-15 00:00:00
2003-04|2003-10-28 00:00:00|2004-06-15 00:00:00
2004-05|2004-11-02 00:00:00|2005-06-23 00:00:00
2005-06|2005-11-01 00:00:00|2006-06-20 00:00:00
2006-07|2006-10-31 00:00:00|2007-06-14 00:00:00
2007-08|2007-10-30 00:00:00|2008-06-17 00:00:00
2008-09|2008-10-28 00:00:00|2009-06-14 00:00:00
2009-10|2009-10-27 00:00:00|2010-06-17 00:00:00
2010-11|2010-10-26 00:00:00|2011-06-12 00:00:00
2011-12|2011-12-25 00:00:00|2012-06-21 00:00:00
2012-13|2012-10-30 00:00:00|2013-06-20 00:00:00
2013-14|2013-10-29 00:00:00|2014-06-15 00:00:00
