matchid|datetime|year
220101012|2002-01-01 00:00:00|2002
220102002|2002-01-02 00:00:00|2002
220102004|2002-01-02 00:00:00|2002
220102005|2002-01-02 00:00:00|2002
220102007|2002-01-02 00:00:00|2002
220102016|2002-01-02 00:00:00|2002
220102017|2002-01-02 00:00:00|2002
220102021|2002-01-02 00:00:00|2002
220102022|2002-01-02 00:00:00|2002
220102023|2002-01-02 00:00:00|2002
220102024|2002-01-02 00:00:00|2002
220103003|2002-01-03 00:00:00|2002
220103010|2002-01-03 00:00:00|2002
220103018|2002-01-03 00:00:00|2002
220104002|2002-01-04 00:00:00|2002
220104007|2002-01-04 00:00:00|2002
220104013|2002-01-04 00:00:00|2002
220104016|2002-01-04 00:00:00|2002
220104017|2002-01-04 00:00:00|2002
220104024|2002-01-04 00:00:00|2002
220104025|2002-01-04 00:00:00|2002
220104027|2002-01-04 00:00:00|2002
220104028|2002-01-04 00:00:00|2002
220104029|2002-01-04 00:00:00|2002
220105001|2002-01-05 00:00:00|2002
220105003|2002-01-05 00:00:00|2002
220105004|2002-01-05 00:00:00|2002
220105006|2002-01-05 00:00:00|2002
220105008|2002-01-05 00:00:00|2002
220105010|2002-01-05 00:00:00|2002
220105012|2002-01-05 00:00:00|2002
220105018|2002-01-05 00:00:00|2002
220105019|2002-01-05 00:00:00|2002
220105021|2002-01-05 00:00:00|2002
220105022|2002-01-05 00:00:00|2002
220106014|2002-01-06 00:00:00|2002
220106023|2002-01-06 00:00:00|2002
220106028|2002-01-06 00:00:00|2002
220106029|2002-01-06 00:00:00|2002
220107003|2002-01-07 00:00:00|2002
220107004|2002-01-07 00:00:00|2002
220107005|2002-01-07 00:00:00|2002
220107016|2002-01-07 00:00:00|2002
220107019|2002-01-07 00:00:00|2002
220107020|2002-01-07 00:00:00|2002
220107024|2002-01-07 00:00:00|2002
220108001|2002-01-08 00:00:00|2002
220108006|2002-01-08 00:00:00|2002
220108008|2002-01-08 00:00:00|2002
220108009|2002-01-08 00:00:00|2002
220108010|2002-01-08 00:00:00|2002
220108017|2002-01-08 00:00:00|2002
220108026|2002-01-08 00:00:00|2002
220108027|2002-01-08 00:00:00|2002
220108029|2002-01-08 00:00:00|2002
220109002|2002-01-09 00:00:00|2002
220109003|2002-01-09 00:00:00|2002
220109004|2002-01-09 00:00:00|2002
220109011|2002-01-09 00:00:00|2002
220109016|2002-01-09 00:00:00|2002
220109020|2002-01-09 00:00:00|2002
220110006|2002-01-10 00:00:00|2002
220110007|2002-01-10 00:00:00|2002
220110014|2002-01-10 00:00:00|2002
220110017|2002-01-10 00:00:00|2002
220110021|2002-01-10 00:00:00|2002
220110026|2002-01-10 00:00:00|2002
220111002|2002-01-11 00:00:00|2002
220111003|2002-01-11 00:00:00|2002
220111011|2002-01-11 00:00:00|2002
220111015|2002-01-11 00:00:00|2002
220111016|2002-01-11 00:00:00|2002
220111019|2002-01-11 00:00:00|2002
220111020|2002-01-11 00:00:00|2002
220111025|2002-01-11 00:00:00|2002
220111028|2002-01-11 00:00:00|2002
220112001|2002-01-12 00:00:00|2002
220112004|2002-01-12 00:00:00|2002
220112006|2002-01-12 00:00:00|2002
220112008|2002-01-12 00:00:00|2002
220112010|2002-01-12 00:00:00|2002
220112018|2002-01-12 00:00:00|2002
220112019|2002-01-12 00:00:00|2002
220112021|2002-01-12 00:00:00|2002
220112026|2002-01-12 00:00:00|2002
220112027|2002-01-12 00:00:00|2002
220113022|2002-01-13 00:00:00|2002
220113023|2002-01-13 00:00:00|2002
220113028|2002-01-13 00:00:00|2002
220114009|2002-01-14 00:00:00|2002
220114013|2002-01-14 00:00:00|2002
220114017|2002-01-14 00:00:00|2002
220114019|2002-01-14 00:00:00|2002
220114026|2002-01-14 00:00:00|2002
220115001|2002-01-15 00:00:00|2002
220115004|2002-01-15 00:00:00|2002
220115008|2002-01-15 00:00:00|2002
220115011|2002-01-15 00:00:00|2002
220115016|2002-01-15 00:00:00|2002
220115020|2002-01-15 00:00:00|2002
220115023|2002-01-15 00:00:00|2002
220115027|2002-01-15 00:00:00|2002
220116002|2002-01-16 00:00:00|2002
220116007|2002-01-16 00:00:00|2002
220116009|2002-01-16 00:00:00|2002
220116013|2002-01-16 00:00:00|2002
220116015|2002-01-16 00:00:00|2002
220116017|2002-01-16 00:00:00|2002
220116021|2002-01-16 00:00:00|2002
220116026|2002-01-16 00:00:00|2002
220116028|2002-01-16 00:00:00|2002
220117001|2002-01-17 00:00:00|2002
220117003|2002-01-17 00:00:00|2002
220117022|2002-01-17 00:00:00|2002
220117024|2002-01-17 00:00:00|2002
220117029|2002-01-17 00:00:00|2002
220118002|2002-01-18 00:00:00|2002
220118007|2002-01-18 00:00:00|2002
220118011|2002-01-18 00:00:00|2002
220118012|2002-01-18 00:00:00|2002
220118015|2002-01-18 00:00:00|2002
220118021|2002-01-18 00:00:00|2002
220118023|2002-01-18 00:00:00|2002
220118028|2002-01-18 00:00:00|2002
220119001|2002-01-19 00:00:00|2002
220119003|2002-01-19 00:00:00|2002
220119004|2002-01-19 00:00:00|2002
220119006|2002-01-19 00:00:00|2002
220119008|2002-01-19 00:00:00|2002
220119009|2002-01-19 00:00:00|2002
220119014|2002-01-19 00:00:00|2002
220119017|2002-01-19 00:00:00|2002
220119020|2002-01-19 00:00:00|2002
220119022|2002-01-19 00:00:00|2002
220119024|2002-01-19 00:00:00|2002
220119025|2002-01-19 00:00:00|2002
220119029|2002-01-19 00:00:00|2002
220121001|2002-01-21 00:00:00|2002
220121002|2002-01-21 00:00:00|2002
220121004|2002-01-21 00:00:00|2002
220121005|2002-01-21 00:00:00|2002
220121006|2002-01-21 00:00:00|2002
220121008|2002-01-21 00:00:00|2002
220121009|2002-01-21 00:00:00|2002
220121012|2002-01-21 00:00:00|2002
220121016|2002-01-21 00:00:00|2002
220121018|2002-01-21 00:00:00|2002
220121020|2002-01-21 00:00:00|2002
220121023|2002-01-21 00:00:00|2002
220122010|2002-01-22 00:00:00|2002
220122013|2002-01-22 00:00:00|2002
220122014|2002-01-22 00:00:00|2002
220122015|2002-01-22 00:00:00|2002
220122019|2002-01-22 00:00:00|2002
220122022|2002-01-22 00:00:00|2002
220122024|2002-01-22 00:00:00|2002
220122027|2002-01-22 00:00:00|2002
220123002|2002-01-23 00:00:00|2002
220123003|2002-01-23 00:00:00|2002
220123008|2002-01-23 00:00:00|2002
220123009|2002-01-23 00:00:00|2002
220123012|2002-01-23 00:00:00|2002
220123026|2002-01-23 00:00:00|2002
220123028|2002-01-23 00:00:00|2002
220124007|2002-01-24 00:00:00|2002
220124010|2002-01-24 00:00:00|2002
220124015|2002-01-24 00:00:00|2002
220124018|2002-01-24 00:00:00|2002
220124019|2002-01-24 00:00:00|2002
220124022|2002-01-24 00:00:00|2002
220124023|2002-01-24 00:00:00|2002
220124027|2002-01-24 00:00:00|2002
220125001|2002-01-25 00:00:00|2002
220125002|2002-01-25 00:00:00|2002
220125011|2002-01-25 00:00:00|2002
220125013|2002-01-25 00:00:00|2002
220125028|2002-01-25 00:00:00|2002
