MatchID|Team1|mean_PTS_t1_bin_3|mean_STL_t1_bin_3|mean_AST_t1_bin_3|mean_DBPM_t1_bin_3|mean_BPM_t1_bin_3|mean_VORP_t1_bin_3|HAteam01|Team2|mean_PTS_t2_bin_3|mean_STL_t2_bin_3|mean_AST_t2_bin_3|mean_DBPM_t2_bin_3|mean_BPM_t2_bin_3|mean_VORP_t2_bin_3|HAteam02
400277721|washington_wizards|7.518333|0.735303|1.328030|-0.843148|-2.590370|0.272963|away|cleveland_cavaliers|7.886970|0.620606|1.580152|-0.572857|-2.355714|0.211429|home
400277722|boston_celtics|10.881818|0.887879|2.559091|0.297727|-0.256818|1.245455|away|miami_heat|11.464744|0.859615|2.326923|0.542500|2.242500|2.720000|home
400277723|dallas_mavericks|8.999167|0.678333|1.829167|-0.741667|-3.187500|0.573333|away|los_angeles_lakers|11.315833|0.716806|2.911111|-0.368182|0.018182|1.686364|home
400277724|indiana_pacers|8.920455|0.656061|1.630303|-0.195000|-1.800000|0.575000|away|toronto_raptors|9.767424|0.640152|2.296212|-1.515000|-2.262500|0.645000|home
400277725|denver_nuggets|10.213636|0.804545|2.309848|-0.186111|-0.819444|0.997222|away|philadelphia_76ers|8.871970|0.729545|1.646970|-0.172500|-1.187500|0.547500|home
400277726|houston_rockets|6.415000|0.730000|1.470000|0.871429|0.057143|0.728571|away|detroit_pistons|10.303704|0.738889|2.085185|-1.025000|-1.068750|0.581250|home
400277727|sacramento_kings|10.084722|0.778472|2.261111|0.086111|-0.705556|0.647222|away|chicago_bulls|9.903182|0.658030|1.921515|-0.155000|-0.617500|0.870833|home
400277729|dallas_mavericks|8.550926|0.635185|1.865741|-0.940741|-3.613889|0.437037|away|utah_jazz|8.784306|0.615556|1.758472|-0.650000|-1.815833|0.461667|home
400277730|golden_state_warriors|11.684333|0.781833|2.547833|0.553125|0.310417|1.364583|away|phoenix_suns|9.902500|0.647500|1.654167|-0.130556|-1.000000|0.591667|home
400277731|memphis_grizzlies|9.284848|0.792424|1.892424|-0.135000|-0.880000|0.997500|away|los_angeles_clippers|10.549242|0.845455|2.597727|0.434091|0.447727|1.447727|home
400277732|los_angeles_lakers|11.315833|0.716806|2.911111|-0.368182|0.018182|1.686364|away|portland_trail_blazers|8.693125|0.634792|1.200000|-0.058095|-2.014286|0.797143|home
400277734|oklahoma_city_thunder|9.654242|0.707576|1.936515|0.688889|-0.047222|1.444444|away|san_antonio_spurs|9.196806|0.671389|2.106667|-0.227500|-0.040000|1.225000|home
400277735|indiana_pacers|9.592500|0.701667|1.783333|-0.172222|-1.677778|0.650000|away|charlotte_bobcats|7.953788|0.516667|1.683333|-0.893750|-3.496875|0.096875|home
400277736|denver_nuggets|10.213636|0.804545|2.309848|-0.186111|-0.819444|0.997222|away|orlando_magic|7.697500|0.595833|2.060833|0.059524|-0.215476|1.098810|home
400277737|milwaukee_bucks|9.454861|0.747222|1.971528|0.584091|-1.275000|0.615909|away|boston_celtics|10.881818|0.887879|2.559091|0.297727|-0.256818|1.245455|home
400277738|houston_rockets|6.935000|0.735000|1.540000|0.825000|0.112500|0.700000|away|atlanta_hawks|9.844697|0.751515|2.301515|-0.163889|-0.747222|1.172222|home
400277739|chicago_bulls|9.903182|0.658030|1.921515|-0.155000|-0.617500|0.870833|away|cleveland_cavaliers|7.886970|0.620606|1.580152|-0.572857|-2.355714|0.211429|home
400277740|miami_heat|11.395513|0.854487|2.250000|0.793182|2.097727|2.559091|away|new_york_knicks|9.813500|1.003833|2.639000|0.967500|0.810000|1.450000|home
