MatchID|Team1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1_bin|score01|HAteam01|Team2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|score02|HAteam02
400277721|washington_wizards|5.454545|6.490510|3.000000|84|away|cleveland_cavaliers|7.500000|8.321658|2.000000|94|home
400277722|boston_celtics|14.512821|48.420366|2.000000|107|away|miami_heat|46.269231|58.661496|32.000000|120|home
400277723|dallas_mavericks|6.884615|16.713253|2.000000|99|away|los_angeles_lakers|16.333333|39.379699|0.000000|91|home
400277724|indiana_pacers|14.384615|21.477616|4.000000|90|away|toronto_raptors|14.820513|23.713430|4.000000|88|home
400277725|denver_nuggets|14.602564|19.015742|3.000000|75|away|philadelphia_76ers|12.051282|19.274600|5.000000|84|home
400277726|houston_rockets|3.294872|11.510429|2.000000|105|away|detroit_pistons|30.730769|42.759216|4.000000|96|home
400277727|sacramento_kings|16.705128|11.942285|20.000000|87|away|chicago_bulls|29.848485|45.938115|5.000000|93|home
400277729|dallas_mavericks|7.924242|17.970776|2.000000|94|away|utah_jazz|17.230769|16.722412|5.000000|113|home
400277730|golden_state_warriors|10.743590|12.182834|5.000000|87|away|phoenix_suns|10.282051|18.058237|4.000000|85|home
400277731|memphis_grizzlies|33.681818|40.765463|23.000000|92|away|los_angeles_clippers|17.290909|23.814184|5.000000|101|home
400277732|los_angeles_lakers|16.333333|39.379699|0.000000|106|away|portland_trail_blazers|9.000000|18.756196|3.000000|116|home
400277734|oklahoma_city_thunder|26.807692|46.127209|4.000000|84|away|san_antonio_spurs|53.256410|65.816652|29.000000|86|home
400277735|indiana_pacers|11.807692|19.653445|4.000000|89|away|charlotte_bobcats|4.884615|15.589264|1.000000|90|home
400277736|denver_nuggets|14.602564|19.015742|3.000000|89|away|orlando_magic|8.141026|29.314705|2.000000|102|home
400277737|milwaukee_bucks|15.448718|18.909804|3.000000|99|away|boston_celtics|14.512821|48.420366|2.000000|88|home
400277738|houston_rockets|3.871795|12.054746|3.000000|109|away|atlanta_hawks|13.717949|43.389972|1.000000|102|home
400277739|chicago_bulls|29.848485|45.938115|5.000000|115|away|cleveland_cavaliers|7.500000|8.321658|2.000000|86|home
400277740|miami_heat|57.717949|65.373855|52.500000|84|away|new_york_knicks|12.282051|26.762439|3.000000|104|home
400277742|portland_trail_blazers|6.651515|13.349035|3.000000|92|away|oklahoma_city_thunder|26.807692|46.127209|4.000000|106|home
400277743|sacramento_kings|16.705128|11.942285|20.000000|80|away|minnesota_timberwolves|6.615385|10.747964|4.000000|92|home
400277744|detroit_pistons|30.730769|42.759216|4.000000|89|away|phoenix_suns|10.282051|18.058237|4.000000|92|home
400277745|los_angeles_clippers|17.290909|23.814184|5.000000|105|away|los_angeles_lakers|17.333333|39.790047|0.000000|95|home
400277746|memphis_grizzlies|33.371795|40.079443|22.500000|104|away|golden_state_warriors|10.743590|12.182834|5.000000|94|home
400277747|boston_celtics|14.512821|48.420366|2.000000|89|away|washington_wizards|6.576923|8.425418|3.000000|86|home
400277748|sacramento_kings|16.705128|11.942285|20.000000|98|away|indiana_pacers|11.807692|19.653445|4.000000|106|home
400277749|toronto_raptors|13.064103|23.514502|4.000000|100|away|brooklyn_nets|4.282051|9.072214|3.000000|107|home
400277750|denver_nuggets|17.500000|20.424815|3.000000|116|away|miami_heat|60.384615|63.765442|41.500000|119|home
400277752|portland_trail_blazers|7.287879|14.637814|3.000000|95|away|houston_rockets|5.961538|17.011642|3.000000|85|home
400277753|cleveland_cavaliers|7.500000|8.321658|2.000000|102|away|milwaukee_bucks|15.448718|18.909804|3.000000|105|home
400277754|charlotte_bobcats|4.884615|15.589264|1.000000|99|away|dallas_mavericks|5.589744|18.741450|2.000000|126|home
400277755|utah_jazz|17.230769|16.722412|5.000000|100|away|san_antonio_spurs|70.076923|85.561909|31.500000|110|home
400277756|golden_state_warriors|10.076923|11.368839|5.000000|114|away|los_angeles_clippers|16.378788|22.130991|5.000000|110|home
400277757|philadelphia_76ers|12.051282|19.274600|5.000000|84|away|new_york_knicks|12.282051|26.762439|3.000000|100|home
400277758|minnesota_timberwolves|6.615385|10.747964|4.000000|86|away|toronto_raptors|13.064103|23.514502|4.000000|105|home
400277759|phoenix_suns|10.282051|18.058237|4.000000|94|away|orlando_magic|3.628205|8.176121|2.000000|115|home
400277760|atlanta_hawks|13.717949|43.389972|1.000000|104|away|oklahoma_city_thunder|26.807692|46.127209|4.000000|95|home
400277761|detroit_pistons|30.717949|42.768278|4.000000|79|away|los_angeles_lakers|17.333333|39.790047|0.000000|108|home
400277762|new_york_knicks|12.282051|26.762439|3.000000|110|away|philadelphia_76ers|12.051282|19.274600|5.000000|88|home
400277763|minnesota_timberwolves|6.615385|10.747964|4.000000|107|away|brooklyn_nets|4.500000|9.611358|3.000000|96|home
400277764|phoenix_suns|9.615385|17.302164|4.000000|99|away|miami_heat|60.384615|63.765442|41.500000|124|home
400277765|utah_jazz|17.230769|16.722412|5.000000|94|away|memphis_grizzlies|33.371795|40.079443|22.500000|103|home
400277766|portland_trail_blazers|9.564103|19.478186|3.000000|91|away|dallas_mavericks|5.589744|18.741450|2.000000|114|home
400277767|indiana_pacers|11.807692|19.653445|4.000000|79|away|san_antonio_spurs|70.076923|85.561909|31.500000|101|home
400277768|golden_state_warriors|10.166667|11.517452|5.000000|92|away|sacramento_kings|16.705128|11.942285|20.000000|94|home
400277769|cleveland_cavaliers|7.500000|8.321658|2.000000|108|away|los_angeles_clippers|17.290909|23.814184|5.000000|101|home
400277770|orlando_magic|3.628205|8.176121|2.000000|93|away|chicago_bulls|29.848485|45.938115|5.000000|99|home
400277771|toronto_raptors|13.064103|23.514502|4.000000|88|away|oklahoma_city_thunder|26.807692|46.127209|4.000000|108|home
400277772|detroit_pistons|30.730769|42.759216|4.000000|97|away|denver_nuggets|19.602564|20.861165|8.500000|109|home
400277773|phoenix_suns|9.615385|17.302164|4.000000|117|away|charlotte_bobcats|4.782051|15.216933|1.000000|110|home
