MatchID|Team1|mean_PTS_t1|mean_STL_t1|mean_AST_t1|mean_DBPM_t1|mean_BPM_t1|mean_VORP_t1|HAteam01|Team2|mean_PTS_t2|mean_STL_t2|mean_AST_t2|mean_DBPM_t2|mean_BPM_t2|mean_VORP_t2|HAteam02
400488874|orlando_magic|6.832176|0.527662|1.357639|-0.347569|-2.477778|0.171759|away|indiana_pacers|8.642753|0.597980|1.640859|-0.085417|-1.244325|0.775218|home
400488875|chicago_bulls|10.611180|0.728554|2.508806|0.412032|-0.207742|1.250765|away|miami_heat|12.600786|0.913870|2.392918|0.495122|0.933686|1.984129|home
400488876|los_angeles_clippers|11.146587|0.802457|2.618880|-0.691900|-0.629296|1.274655|away|los_angeles_lakers|8.465258|0.493236|2.034161|-1.005387|-2.382569|0.373036|home
400488877|brooklyn_nets|11.858904|0.802960|2.870832|-0.420442|-0.432138|1.486431|away|cleveland_cavaliers|9.508297|0.651865|1.837554|-1.513175|-2.043276|0.457875|home
400488878|miami_heat|11.103094|0.803101|2.015226|0.422215|0.504827|1.720307|away|philadelphia_76ers|6.109900|0.474501|1.279701|0.215926|-2.133386|0.128677|home
400488879|boston_celtics|8.831940|0.737417|1.409417|-0.091703|-1.758451|0.380005|away|toronto_raptors|8.564028|0.652778|1.640208|-0.495949|-0.839630|0.422639|home
400488880|washington_wizards|8.581461|0.733216|1.910414|0.230961|-1.486890|0.549007|away|detroit_pistons|10.045947|0.854873|1.869152|-0.192207|-0.292515|1.173534|home
400488881|milwaukee_bucks|9.858000|0.763333|2.015667|-0.343949|-1.051256|0.536897|away|new_york_knicks|12.061264|0.959965|2.405932|0.056411|-0.089380|1.015497|home
400488882|charlotte_bobcats|8.965939|0.620187|1.951875|-0.807792|-2.299787|0.272886|away|houston_rockets|8.831868|0.801068|1.868651|0.674697|0.564118|1.065831|home
400488883|orlando_magic|6.832176|0.527662|1.357639|-0.347569|-2.477778|0.171759|away|minnesota_timberwolves|10.391778|0.844048|2.322302|-0.192247|-0.726244|0.530114|home
400488884|indiana_pacers|8.642753|0.597980|1.640859|-0.085417|-1.244325|0.775218|away|new_orleans_pelicans|9.494545|0.799848|2.102727|-0.272965|-1.212468|0.469697|home
400488885|atlanta_hawks|7.945612|0.567434|1.498308|-1.110303|-2.125552|0.856266|away|dallas_mavericks|11.712512|0.902683|2.385730|0.208292|0.387170|1.382288|home
400488886|memphis_grizzlies|9.238050|0.707599|1.950573|0.059725|-0.542580|1.007645|away|san_antonio_spurs|8.833328|0.656002|1.975092|0.282143|0.387213|1.383225|home
400488887|oklahoma_city_thunder|7.575790|0.560678|1.231539|-0.054563|-1.910714|0.781079|away|utah_jazz|8.060526|0.600494|1.661173|-0.962429|-2.248452|0.373024|home
400488888|portland_trail_blazers|9.185808|0.661120|1.835847|-0.536958|-1.821052|0.629246|away|phoenix_suns|5.628333|0.534524|1.305476|-0.588668|-2.554674|0.263823|home
400488889|denver_nuggets|8.258590|0.616630|1.873443|-0.804103|-1.588352|0.552930|away|sacramento_kings|9.088509|0.692847|1.910803|-0.978667|-1.089583|0.487250|home
400488890|los_angeles_lakers|8.465258|0.493236|2.034161|-1.005387|-2.382569|0.373036|away|golden_state_warriors|10.611414|0.806768|2.201768|0.177796|-0.584794|1.052381|home
400488891|new_york_knicks|12.971379|1.029053|2.608744|-0.074825|0.127949|1.113270|away|chicago_bulls|10.611180|0.728554|2.508806|0.412032|-0.207742|1.250765|home
400488892|golden_state_warriors|10.611414|0.806768|2.201768|0.177796|-0.584794|1.052381|away|los_angeles_clippers|11.146587|0.802457|2.618880|-0.691900|-0.629296|1.274655|home
400488893|cleveland_cavaliers|9.508297|0.651865|1.837554|-1.513175|-2.043276|0.457875|away|charlotte_bobcats|8.292136|0.611921|1.998005|-0.915238|-2.529766|0.175730|home
400488894|new_orleans_pelicans|9.494545|0.799848|2.102727|-0.272965|-1.212468|0.469697|away|orlando_magic|6.832176|0.527662|1.357639|-0.347569|-2.477778|0.171759|home
400488895|philadelphia_76ers|6.109900|0.474501|1.279701|0.215926|-2.133386|0.128677|away|washington_wizards|8.581461|0.733216|1.910414|0.230961|-1.486890|0.549007|home
400488896|toronto_raptors|8.528611|0.673611|1.654792|-0.133912|-0.644259|0.423565|away|atlanta_hawks|7.945612|0.567434|1.498308|-1.110303|-2.125552|0.856266|home
400488897|milwaukee_bucks|9.858000|0.763333|2.015667|-0.343949|-1.051256|0.536897|away|boston_celtics|8.831940|0.737417|1.409417|-0.091703|-1.758451|0.380005|home
400488898|dallas_mavericks|11.712512|0.902683|2.385730|0.208292|0.387170|1.382288|away|houston_rockets|9.101190|0.792824|1.782705|0.614255|0.327795|1.071317|home
400488899|detroit_pistons|10.273262|0.903021|2.231189|-0.125077|-0.174460|1.227238|away|memphis_grizzlies|9.238050|0.707599|1.950573|0.059725|-0.542580|1.007645|home
400488900|oklahoma_city_thunder|7.575790|0.560678|1.231539|-0.054563|-1.910714|0.781079|away|minnesota_timberwolves|10.391778|0.844048|2.322302|-0.192247|-0.726244|0.530114|home
400488901|miami_heat|12.991555|0.919255|2.408303|0.758198|1.264456|2.020283|away|brooklyn_nets|11.904723|0.850284|2.869579|-0.116771|-0.001693|1.666496|home
400488902|portland_trail_blazers|9.185808|0.661120|1.835847|-0.536958|-1.821052|0.629246|away|denver_nuggets|8.258590|0.616630|1.873443|-0.804103|-1.588352|0.552930|home
400488903|utah_jazz|8.060526|0.600494|1.661173|-0.962429|-2.248452|0.373024|away|phoenix_suns|5.628333|0.534524|1.305476|-0.588668|-2.554674|0.263823|home
400488904|los_angeles_clippers|11.146587|0.802457|2.618880|-0.691900|-0.629296|1.274655|away|sacramento_kings|9.088509|0.692847|1.910803|-0.978667|-1.089583|0.487250|home
400488905|san_antonio_spurs|7.580925|0.644464|1.888073|0.046886|-0.110223|1.021687|away|los_angeles_lakers|8.465258|0.493236|2.034161|-1.005387|-2.382569|0.373036|home
400488906|cleveland_cavaliers|9.290556|0.684194|1.904167|-1.830206|-2.341889|0.373663|away|indiana_pacers|8.642753|0.597980|1.640859|-0.085417|-1.244325|0.775218|home
400488907|chicago_bulls|10.611180|0.728554|2.508806|0.412032|-0.207742|1.250765|away|philadelphia_76ers|6.109900|0.474501|1.279701|0.215926|-2.133386|0.128677|home
400488908|charlotte_bobcats|8.292136|0.611921|1.998005|-0.915238|-2.529766|0.175730|away|new_orleans_pelicans|9.494545|0.799848|2.102727|-0.272965|-1.212468|0.469697|home
400488909|memphis_grizzlies|9.238050|0.707599|1.950573|0.059725|-0.542580|1.007645|away|dallas_mavericks|11.712512|0.902683|2.385730|0.208292|0.387170|1.382288|home
400488910|toronto_raptors|8.475040|0.662897|1.673839|-0.204745|-0.878634|0.411065|away|milwaukee_bucks|9.858000|0.763333|2.015667|-0.343949|-1.051256|0.536897|home
400488911|houston_rockets|8.831868|0.801068|1.868651|0.674697|0.564118|1.065831|away|utah_jazz|8.060526|0.600494|1.661173|-0.962429|-2.248452|0.373024|home
400488912|san_antonio_spurs|8.833328|0.656002|1.975092|0.282143|0.387213|1.383225|away|portland_trail_blazers|9.415936|0.703427|2.135206|-0.607196|-1.676409|0.664960|home
400488913|sacramento_kings|9.088509|0.692847|1.910803|-0.978667|-1.089583|0.487250|away|golden_state_warriors|10.611414|0.806768|2.201768|0.177796|-0.584794|1.052381|home
400488914|boston_celtics|8.831940|0.737417|1.409417|-0.091703|-1.758451|0.380005|away|detroit_pistons|11.831595|1.025244|2.839522|0.005478|0.544985|1.460571|home
400488915|washington_wizards|8.581461|0.733216|1.910414|0.230961|-1.486890|0.549007|away|miami_heat|12.600786|0.913870|2.392918|0.495122|0.933686|1.984129|home
400488916|brooklyn_nets|12.713450|0.896141|3.058711|-0.009836|0.639832|1.830370|away|orlando_magic|6.832176|0.527662|1.357639|-0.347569|-2.477778|0.171759|home
400488917|phoenix_suns|5.628333|0.534524|1.305476|-0.588668|-2.554674|0.263823|away|oklahoma_city_thunder|8.538647|0.641197|1.732319|0.017904|-1.466818|1.063157|home
400488918|minnesota_timberwolves|10.629000|0.851548|2.447024|-0.683747|-1.024744|0.467114|away|new_york_knicks|12.061264|0.959965|2.405932|0.056411|-0.089380|1.015497|home
400488919|atlanta_hawks|7.945612|0.567434|1.498308|-1.110303|-2.125552|0.856266|away|los_angeles_lakers|8.465258|0.493236|2.034161|-1.005387|-2.382569|0.373036|home
400488920|minnesota_timberwolves|10.629000|0.851548|2.447024|-0.683747|-1.024744|0.467114|away|cleveland_cavaliers|9.508297|0.651865|1.837554|-1.513175|-2.043276|0.457875|home
400488921|golden_state_warriors|10.611414|0.806768|2.201768|0.177796|-0.584794|1.052381|away|philadelphia_76ers|6.109900|0.474501|1.279701|0.215926|-2.133386|0.128677|home
400488922|boston_celtics|8.831940|0.737417|1.409417|-0.091703|-1.758451|0.380005|away|memphis_grizzlies|9.238050|0.707599|1.950573|0.059725|-0.542580|1.007645|home
400488923|houston_rockets|8.831868|0.801068|1.868651|0.674697|0.564118|1.065831|away|los_angeles_clippers|11.146587|0.802457|2.618880|-0.691900|-0.629296|1.274655|home
400488924|miami_heat|11.483094|0.878485|2.321380|0.487215|0.884827|1.955307|away|toronto_raptors|8.130806|0.642674|1.575852|-0.088996|-0.757201|0.394829|home
400488925|utah_jazz|8.060526|0.600494|1.661173|-0.962429|-2.248452|0.373024|away|brooklyn_nets|12.713450|0.896141|3.058711|-0.009836|0.639832|1.830370|home
400488926|indiana_pacers|8.642753|0.597980|1.640859|-0.085417|-1.244325|0.775218|away|detroit_pistons|10.953436|0.962719|2.570570|-0.160069|-0.009514|1.319514|home
400488927|charlotte_bobcats|8.292136|0.611921|1.998005|-0.915238|-2.529766|0.175730|away|new_york_knicks|12.971379|1.029053|2.608744|-0.074825|0.127949|1.113270|home
400488928|phoenix_suns|5.628333|0.534524|1.305476|-0.588668|-2.554674|0.263823|away|new_orleans_pelicans|9.494545|0.799848|2.102727|-0.272965|-1.212468|0.469697|home
400488929|los_angeles_lakers|8.465258|0.493236|2.034161|-1.005387|-2.382569|0.373036|away|dallas_mavericks|11.712512|0.902683|2.385730|0.208292|0.387170|1.382288|home
400488930|san_antonio_spurs|8.833328|0.656002|1.975092|0.282143|0.387213|1.383225|away|denver_nuggets|8.258590|0.616630|1.873443|-0.804103|-1.588352|0.552930|home
400488931|houston_rockets|8.831868|0.801068|1.868651|0.674697|0.564118|1.065831|away|portland_trail_blazers|9.515936|0.720094|2.185206|-0.532196|-1.434742|0.681627|home
400488932|atlanta_hawks|7.945612|0.567434|1.498308|-1.110303|-2.125552|0.856266|away|sacramento_kings|9.873828|0.751288|2.084512|-0.978667|-1.089583|0.487250|home
400488933|toronto_raptors|8.475040|0.662897|1.673839|-0.204745|-0.878634|0.411065|away|charlotte_bobcats|8.292136|0.611921|1.998005|-0.915238|-2.529766|0.175730|home
400488934|chicago_bulls|10.611180|0.728554|2.508806|0.412032|-0.207742|1.250765|away|indiana_pacers|8.642753|0.597980|1.640859|-0.085417|-1.244325|0.775218|home
400488935|los_angeles_clippers|11.146587|0.802457|2.618880|-0.691900|-0.629296|1.274655|away|orlando_magic|6.832176|0.527662|1.357639|-0.347569|-2.477778|0.171759|home
400488936|washington_wizards|8.581461|0.733216|1.910414|0.230961|-1.486890|0.549007|away|philadelphia_76ers|6.109900|0.474501|1.279701|0.215926|-2.133386|0.128677|home
400488937|utah_jazz|8.060526|0.600494|1.661173|-0.962429|-2.248452|0.373024|away|boston_celtics|8.831940|0.737417|1.409417|-0.091703|-1.758451|0.380005|home
400488938|new_orleans_pelicans|9.494545|0.799848|2.102727|-0.272965|-1.212468|0.469697|away|memphis_grizzlies|9.238050|0.707599|1.950573|0.059725|-0.542580|1.007645|home
400488939|cleveland_cavaliers|10.259127|0.717052|2.021310|-0.344492|-1.337603|0.503663|away|milwaukee_bucks|9.350000|0.713833|1.619667|0.046051|-0.997256|0.504897|home
400488940|golden_state_warriors|10.611414|0.806768|2.201768|0.177796|-0.584794|1.052381|away|minnesota_timberwolves|10.629000|0.851548|2.447024|-0.683747|-1.024744|0.467114|home
400488941|phoenix_suns|5.628333|0.534524|1.305476|-0.588668|-2.554674|0.263823|away|san_antonio_spurs|8.632474|0.671387|2.065691|0.377015|0.233367|1.319123|home
400488942|dallas_mavericks|11.712512|0.902683|2.385730|0.208292|0.387170|1.382288|away|oklahoma_city_thunder|8.538647|0.641197|1.732319|0.017904|-1.466818|1.063157|home
400488943|los_angeles_clippers|11.146587|0.802457|2.618880|-0.691900|-0.629296|1.274655|away|miami_heat|12.600786|0.913870|2.392918|0.495122|0.933686|1.984129|home
400488944|atlanta_hawks|7.945612|0.567434|1.498308|-1.110303|-2.125552|0.856266|away|denver_nuggets|8.258590|0.616630|1.873443|-0.804103|-1.588352|0.552930|home
400488945|los_angeles_lakers|8.465258|0.493236|2.034161|-1.005387|-2.382569|0.373036|away|houston_rockets|8.831868|0.801068|1.868651|0.674697|0.564118|1.065831|home
400488946|new_york_knicks|12.376682|0.997992|2.554957|-0.143007|-0.196748|0.950997|away|charlotte_bobcats|8.292136|0.611921|1.998005|-0.915238|-2.529766|0.175730|home
400488947|toronto_raptors|8.403790|0.643730|1.625923|-0.439005|-0.850394|0.428194|away|indiana_pacers|8.642753|0.597980|1.640859|-0.085417|-1.244325|0.775218|home
400488948|boston_celtics|8.831940|0.737417|1.409417|-0.091703|-1.758451|0.380005|away|orlando_magic|6.832176|0.527662|1.357639|-0.347569|-2.477778|0.171759|home
400488949|cleveland_cavaliers|10.259127|0.717052|2.021310|-0.344492|-1.337603|0.503663|away|philadelphia_76ers|6.109900|0.474501|1.279701|0.215926|-2.133386|0.128677|home
400488950|brooklyn_nets|12.713450|0.896141|3.058711|-0.009836|0.639832|1.830370|away|washington_wizards|8.581461|0.733216|1.910414|0.230961|-1.486890|0.549007|home
400488951|oklahoma_city_thunder|8.538647|0.641197|1.732319|0.017904|-1.466818|1.063157|away|detroit_pistons|10.953436|0.962719|2.570570|-0.160069|-0.009514|1.319514|home
400488952|utah_jazz|8.060526|0.600494|1.661173|-0.962429|-2.248452|0.373024|away|chicago_bulls|10.611180|0.728554|2.508806|0.412032|-0.207742|1.250765|home
400488953|dallas_mavericks|11.712512|0.902683|2.385730|0.208292|0.387170|1.382288|away|minnesota_timberwolves|10.629000|0.851548|2.447024|-0.683747|-1.024744|0.467114|home
400488954|los_angeles_lakers|8.465258|0.493236|2.034161|-1.005387|-2.382569|0.373036|away|new_orleans_pelicans|9.494545|0.799848|2.102727|-0.272965|-1.212468|0.469697|home
400488955|golden_state_warriors|10.611414|0.806768|2.201768|0.177796|-0.584794|1.052381|away|san_antonio_spurs|8.632474|0.671387|2.065691|0.377015|0.233367|1.319123|home
400488956|denver_nuggets|8.258590|0.616630|1.873443|-0.804103|-1.588352|0.552930|away|phoenix_suns|5.628333|0.534524|1.305476|-0.588668|-2.554674|0.263823|home
400488957|sacramento_kings|9.873828|0.751288|2.084512|-0.978667|-1.089583|0.487250|away|portland_trail_blazers|9.415936|0.703427|2.135206|-0.607196|-1.676409|0.664960|home
400488958|utah_jazz|8.060526|0.600494|1.661173|-0.962429|-2.248452|0.373024|away|toronto_raptors|8.457361|0.654444|1.606875|-0.368171|-0.616019|0.440694|home
400488959|orlando_magic|6.832176|0.527662|1.357639|-0.347569|-2.477778|0.171759|away|atlanta_hawks|8.181976|0.621980|1.604368|-0.510303|-1.516461|0.894903|home
400488960|indiana_pacers|8.642753|0.597980|1.640859|-0.085417|-1.244325|0.775218|away|brooklyn_nets|11.808904|0.794626|2.837499|-0.378775|-0.323804|1.503098|home
400488961|philadelphia_76ers|6.109900|0.474501|1.279701|0.215926|-2.133386|0.128677|away|cleveland_cavaliers|9.290556|0.684194|1.904167|-1.830206|-2.341889|0.373663|home
400488962|boston_celtics|8.831940|0.737417|1.409417|-0.091703|-1.758451|0.380005|away|miami_heat|12.306940|0.896947|2.409841|0.516382|1.158994|2.123640|home
400488963|los_angeles_clippers|11.146587|0.802457|2.618880|-0.691900|-0.629296|1.274655|away|houston_rockets|8.831868|0.801068|1.868651|0.674697|0.564118|1.065831|home
400488964|golden_state_warriors|10.611414|0.806768|2.201768|0.177796|-0.584794|1.052381|away|memphis_grizzlies|9.238050|0.707599|1.950573|0.059725|-0.542580|1.007645|home
400488965|dallas_mavericks|11.712512|0.902683|2.385730|0.208292|0.387170|1.382288|away|milwaukee_bucks|9.350000|0.713833|1.619667|0.046051|-0.997256|0.504897|home
400488966|portland_trail_blazers|9.415936|0.703427|2.135206|-0.607196|-1.676409|0.664960|away|sacramento_kings|9.873828|0.751288|2.084512|-0.978667|-1.089583|0.487250|home
400488967|san_antonio_spurs|8.632474|0.671387|2.065691|0.377015|0.233367|1.319123|away|new_york_knicks|12.376682|0.997992|2.554957|-0.143007|-0.196748|0.950997|home
400488968|washington_wizards|8.581461|0.733216|1.910414|0.230961|-1.486890|0.549007|away|oklahoma_city_thunder|8.781648|0.657647|1.765075|-0.116584|-1.692937|0.996634|home
400488969|new_orleans_pelicans|9.494545|0.799848|2.102727|-0.272965|-1.212468|0.469697|away|phoenix_suns|5.628333|0.534524|1.305476|-0.588668|-2.554674|0.263823|home
400488970|minnesota_timberwolves|10.629000|0.851548|2.447024|-0.683747|-1.024744|0.467114|away|los_angeles_lakers|8.465258|0.493236|2.034161|-1.005387|-2.382569|0.373036|home
400488971|atlanta_hawks|8.181976|0.621980|1.604368|-0.510303|-1.516461|0.894903|away|charlotte_bobcats|8.965939|0.620187|1.951875|-0.807792|-2.299787|0.272886|home
400488972|memphis_grizzlies|9.238050|0.707599|1.950573|0.059725|-0.542580|1.007645|away|indiana_pacers|8.642753|0.597980|1.640859|-0.085417|-1.244325|0.775218|home
400488973|san_antonio_spurs|8.632474|0.671387|2.065691|0.377015|0.233367|1.319123|away|philadelphia_76ers|6.109900|0.474501|1.279701|0.215926|-2.133386|0.128677|home
400488974|orlando_magic|6.832176|0.527662|1.357639|-0.347569|-2.477778|0.171759|away|boston_celtics|8.831940|0.737417|1.409417|-0.091703|-1.758451|0.380005|home
400488975|cleveland_cavaliers|9.508297|0.651865|1.837554|-1.513175|-2.043276|0.457875|away|chicago_bulls|10.611180|0.728554|2.508806|0.412032|-0.207742|1.250765|home
